"City_Name","Year","low","mediate","High","Na","Mg","Ca","SO4","Cl","pH","TDS","NO3","CaCO3"
1,"85",90,10,0,0.19,0.73,1.58,0.56,0.15,8.04,144.18,4.4,136.8
1,"89",13,83,4,0.16,0.65,1.96,0.59,0.22,7.91,152.81,3.8,149.6
1,"93",23,67,10,0.23,0.67,1.79,0.62,0.22,8.19,147.52,4.32,143.78
2,"85",52,48,0,1.25,1.71,2.28,1.46,0.72,7.8,317.93,4,211
2,"89",52,48,0,1.67,1.68,3.35,1.97,1.16,7.85,383.97,4.6,200
2,"93",9,85,6,1.17,1.62,2.78,1.49,0.81,7.86,319.96,4.44,212.04
3,"85",41,59,0,32.15,9.61,9.46,29.83,17,7.78,3136.77,3.4,162
3,"89",1,94,5,45.34,15.28,9.93,35.73,27.44,7.61,4912.89,3.6,163.2
3,"93",2,98,0,17.88,6.63,7.73,16.37,10.16,7.64,2172.5,4.44,167.28
4,"85",28,72,0,0.47,0.86,2.35,0.78,0.46,7.85,216.13,3.14,169.13
4,"89",1,93,6,0.37,0.76,2.38,0.75,0.33,7.86,196.26,4.4,170.8
4,"93",11,80,9,0.56,0.83,2.35,0.89,0.46,8.07,206.46,5.1,170.33
