City_Name,Year,Orchard,Irrigation Farming,Pasture,Residential area,Na,Mg,Ca,SO4,Cl,pH,TDS,NO3,CaCO3,EC,TSS,Debi
1,1385,3,0.2,96.6,0.2,0.19,0.73,1.58,0.56,0.15,8.04,144.18,4.4,136.8,227.3,85.14,0.42
1,1389,3.3,0,96.3,0.4,0.16,0.65,1.96,0.59,0.22,7.91,152.81,3.8,149.6,259.38,39.23,0.46
1,1393,3.1,0.5,95.3,1.1,0.23,0.67,1.79,0.62,0.22,8.19,147.52,4.32,143.78,249.74,106.71,0.39
2,1385,7.9,0.2,91.6,0.3,1.25,1.71,2.28,1.46,0.72,7.8,317.93,4,211,495.55,318.29,2.45
2,1389,16.7,0.1,81.5,1.7,1.67,1.68,3.35,1.97,1.16,7.85,383.97,4.6,200,637.88,962.29,1.42
2,1393,13,0.1,69.9,17,1.17,1.62,2.78,1.49,0.81,7.86,319.96,4.44,212.04,521.78,1070.34,2.15
3,1385,6.2,1.7,92,0.1,32.15,9.61,9.46,29.83,17,7.78,3136.77,3.4,162,4679.17,1081.92,9.34
3,1389,5,0,94.8,0.2,45.34,15.28,9.93,35.73,27.44,7.61,4912.89,3.6,163.2,6855.18,932.15,6.41
3,1393,8.4,0,90.3,1.3,17.88,6.63,7.73,16.37,10.16,7.64,2172.5,4.44,167.28,3244.1,1376.63,16.16
4,1385,10,0,89,1,0.47,0.86,2.35,0.78,0.46,7.85,216.13,3.14,169.13,339.43,1400.33,4.86
4,1389,8,0,91,1,0.37,0.76,2.38,0.75,0.33,7.86,196.26,4.4,170.8,334.26,238.77,7.45
4,1393,15,1,82,2,0.56,0.83,2.35,0.89,0.46,8.07,206.46,5.1,170.33,357.63,263.4,4.09
