City_Code,Year,0-2 City,0-2 Liker,0-2 Area,12_20 City,12_20 Liker,12_20 Area,2_5 City,2_5 Liker,2_5 Area,20- 30 City,20- 30 Liker,20- 30 Area,30-60 City,30-60 Liker,30-60 Area,5_8 City,5_8 Liker,5_8 Area,8_12 City,8_12 Liker,8_12 Area,60< City,60< Liker,60< Area
1,84,0,1,0,3,1,2378.74,0,2,115.42,7,2,5090.34,64,3,48704.54,0,3,281.98,1,4,583.94,25,5,19033.71
1,89,0,1,0,3,1,2378.74,0,2,115.42,7,2,5090.34,64,3,48704.54,0,3,281.98,1,4,583.94,25,5,19033.71
1,93,0,1,0,3,1,2378.74,0,2,115.42,7,2,5090.34,64,3,48704.54,0,3,281.98,1,4,583.94,25,5,19033.71
2,84,0,1,3.24,4,1,1249.47,0,2,46.45,9,2,2696.25,60,3,18213.68,0,3,149.21,1,4,352.96,25,5,7462.09
2,89,0,1,3.24,4,1,1249.47,0,2,46.45,9,2,2696.25,60,3,18213.68,0,3,149.21,1,4,352.96,25,5,7462.09
2,93,0,1,3.24,4,1,1249.47,0,2,46.45,9,2,2696.25,60,3,18213.68,0,3,149.21,1,4,352.96,25,5,7462.09
3,84,0,1,12.71,3,1,1541.87,0,2,124.98,6,2,3212.5,74,3,39489.35,0,3,220.98,1,4,387.1,16,5,8721.74
3,89,0,1,12.71,3,1,1541.87,0,2,124.98,6,2,3212.5,74,3,39489.35,0,3,220.98,1,4,387.1,16,5,8721.74
3,93,0,1,12.71,3,1,1541.87,0,2,124.98,6,2,3212.5,74,3,39489.35,0,3,220.98,1,4,387.1,16,5,8721.74
4,84,0,1,25.4,3,1,2239.49,0,2,216.81,6,2,4324.02,77,3,55030.4,0,3,295.88,1,4,618.74,12,5,8370.85
4,89,0,1,25.4,3,1,2239.49,0,2,216.81,6,2,4324.02,77,3,55030.4,0,3,295.88,1,4,618.74,12,5,8370.85
4,93,0,1,25.4,3,1,2239.49,0,2,216.81,6,2,4324.02,77,3,55030.4,0,3,295.88,1,4,618.74,12,5,8370.85
